,theta_0,theta_1,t_miqp,obj_miqp,s_miqp,t_qp,obj_qp,s_qp,t_qp_dt,obj_qp_dt,s_qp_dt,t_qp_rf,obj_qp_rf,s_qp_rf
854,0.38831786270946156,0.15085498575161405,0.05406808853149414,0.06663979533858598,2,0.004705905914306641,0.06664438860286971,2,0.003874063491821289,0.06664438860286971,2,0.00397181510925293,0.06664438860286971,2
855,0.8868045662910033,0.8938041043599053,0.04894709587097168,1.457083183833677,2,0.004213094711303711,1.4570929331946882,2,0.003857851028442383,1.4570929331946882,2,0.003217935562133789,1.4611291861512075,2
856,0.5155348648287755,0.032553446445981016,0.03308701515197754,0.13513354230512872,2,0.0040819644927978516,0.13513416006965065,2,0.003857851028442383,0.13513416006965065,2,0.0034689903259277344,0.13513416006965065,2
857,0.01984482243740271,0.7491161899810406,0.046842098236083984,0.395365288028008,2,0.013892173767089844,0.39535943989145483,2,0.013450860977172852,0.39535943989145483,2,0.013940095901489258,0.39535943989145483,2
858,0.589783875060079,0.7805938395884511,0.07550597190856934,0.7887456700904479,2,0.0037238597869873047,0.7887456750421282,2,0.003398895263671875,0.7887456750421282,2,0.0037310123443603516,0.7887456750421282,2
859,0.39565420834029175,0.9230729812121867,0.05243992805480957,0.8419126637763185,2,0.0037360191345214844,0.8419126687205563,2,0.0032799243927001953,0.8419126687205563,2,0.0037260055541992188,0.8419126687205563,2
860,0.43021910985399325,0.9453697411378292,0.04347109794616699,0.9150362326730352,2,0.004060029983520508,0.9150362343244222,2,0.003885030746459961,0.9150362343244222,2,0.003381967544555664,0.9150362343244222,2
861,0.052140430542336635,0.834981993775961,0.04958701133728027,0.5291588244374241,2,0.03021407127380371,0.5291504093023078,2,0.02951192855834961,0.5291504093023078,2,0.029048919677734375,0.5291504093023078,2
862,0.3333526187885876,0.2215498092912851,0.07818412780761719,0.057921207069730356,2,0.004474163055419922,0.057925352993014004,2,0.0037889480590820312,0.057925352993014004,2,0.004024028778076172,0.057925352993014004,2
863,0.668520500109209,0.25646877220920805,0.07620811462402344,0.3494279775530762,2,0.0042798519134521484,0.349433954353166,2,0.003741025924682617,0.349433954353166,2,0.003921031951904297,0.349433954353166,2
864,0.9966740058544645,0.8827735287788446,0.05200004577636719,1.6624510248225517,2,0.004490852355957031,1.6624510297764503,2,0.0039958953857421875,1.6624510297764503,2,0.004223823547363281,1.6624510297764503,2
865,0.08233284891182036,0.41954094787961205,0.049571990966796875,0.07288000490388409,2,0.029501914978027344,0.07287560431534201,2,0.02849602699279785,0.07287560431534201,2,0.030781030654907227,0.07287560431534201,2
866,0.9151080566119084,0.38402670849701326,0.0689089298248291,0.8173628047695802,2,0.002259969711303711,0.8173628344329236,2,0.0018541812896728516,0.8173628344329236,2,0.0018658638000488281,0.8173628344329236,2
867,0.7877563142019143,0.9681186130953462,0.07767295837402344,1.4271265579566177,2,0.0038788318634033203,1.427140260749865,2,0.0032901763916015625,1.427140260749865,2,0.0031669139862060547,1.427140260749865,2
